question_id;next_question_id
start_instructions;syn_instructions
syn_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_b2
syn_b2;syn_c
syn_c;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;fra_instructions
fra_instructions;syn_main
syn_main;syn_e
syn_e;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_c
bin_c;bin_c
bin_c;pq_a
pq_a;pq_b
pq_b;pq_main
pq_main;rul_a
rul_a;rul_a
rul_a;rul_b
rul_b;rul_c
rul_c;rul_d
rul_d;rul_e
rul_e;tri_a
tri_a;tri_b
tri_b;tri_c
tri_c;survey
survey;tri_e
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_e
syn_e;syn_e
syn_e;syn_f
syn_f;fra_a
fra_a;fra_b
fra_b;fra_b
fra_b;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
bin_b;bin_b
bin_b;bin_c
bin_c;bin_c
bin_c;bin_main
bin_main;bin_main
start_instructions;syn_instructions
syn_instructions;start_instructions
start_instructions;syn_main
syn_main;fra_instructions
fra_instructions;syn_main
syn_main;fra_a
fra_a;fra_b
fra_b;pq_instructions
pq_instructions;pq_a
start_instructions;start_instructions
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;syn_main
syn_main;fra_a
fra_a;survey
start_instructions;syn_a1
syn_a1;syn_a2
syn_a2;syn_b1
syn_b1;syn_b2
syn_b2;syn_c
syn_c;syn_c
syn_c;syn_d
syn_d;syn_e
syn_e;syn_f
syn_f;syn_main
syn_main;syn_main
syn_main;fra_a
fra_a;fra_b
fra_b;fra_c
fra_c;fra_d
fra_d;fra_e
fra_e;fra_f
fra_f;bin_a
bin_a;bin_b
